Investor Name,Type,POC Name,Designation,Website,LinkedIn,Twitter,Cheque Size / Portfolio Range,Sectors (Tags),Portfolio Companies,Profile Bio
Fireside Ventures,VC (Tier 2),Vasudha Mathur,Associate at Fireside Ventures,https://firesideventures.com/,https://www.linkedin.com/in/vasudha-mathur-347a55b9/,https://twitter.com/vsdhamtr?lang=en,$3M - $6M,"HealthTech, Consumer","Kapiva, Gyanoveda, YogaBar, Kwik24, MamaEarth, Bombay Shaving company","Fireside Ventures is an early-stage venture fund that specializes in investing in consumer brands. With a strong focus on supporting young startups, Fireside provides not only financial investment but also in-house resources and access to a network of partners and advisors. The fund is dedicated to guiding and nurturing these startups through their growth and evolution. Fireside Ventures seeks to invest in a diverse range of consumer brands across sectors including food and beverages, personal care, kids and education, lifestyle, and home products. By leveraging their expertise and network, Fireside Ventures aims to help these brands establish a strong presence in the market and achieve long-term success."
First Cheque,VC (Tier 1),Ansh Pratap Singh,Investment Team at First Cheque,http://firstcheque.vc/,https://www.linkedin.com/in/anshpratapsingh/,https://witter.com/anshpsingh,$1M - $3M,"Fintech, SaaS, Consumer, Edtech, Digital Entertainment, Mobility","Rocketlane, Zeda, Mailmodo, ClaimBuddy, Anar","As Founders ourselves, we have a deep passion for building and scaling tech products and companies. With First Cheque, our focus is on investing in the next generation of Indian technology entrepreneurs. We believe in being sector agnostic, allowing us to support a diverse range of ventures. Our main criterion is backing strong teams that are developing tech products for large markets. Early-stage investments can be inherently uncertain, but we embrace the excitement and potential that come with it. Our goal is to provide the necessary support and resources to help these entrepreneurs thrive and succeed in their journey. The average cheque size is about $60k."
Fosun RZ,VC (Tier 3),Divija Rao,Senior Investment Associate at Fosun RZ,https://www.frzcapital.com/,https://www.linkedin.com/in/divijarao/,,Greater than $20M,"Edtech, Fintech, SaaS, Consumer","Ixigo, Trell, Delhivery","Fosun RZ Capital is a venture capital firm that was founded in 2013. The firm is committed to investing in high-growth, high tech companies in major economic growth regions and has fostered innovation ecosystems around the world, with offices in China, the United States, India, Israel, Indonesia, and Singapore."
Growth Story,Angel Investor,Ganesh Krishnan,Partner at Growth Story,,https://www.linkedin.com/in/ganeshk/?originalSubdomain=in,https://twitter.com/ganeshk03?lang=en,$1M - $3M,"Fintech, SaaS, Mobility, Consumer, Digital Entertainment","Freshmenu, Homelane, Windo, OTO Capital, Verloop, Bookadda","Ganesh Krishnan is a prominent entrepreneur and angel investor based in India. With a keen interest in sectors like Consumer Internet, Healthcare, Education, and Technology, Ganesh has played a pivotal role in several successful startups. He is the director of GrowthStory, an entrepreneurship platform that collaborates with renowned venture capitalists and entrepreneurs to support greenfield ventures. Ganesh has founded and promoted successful startups like BigBasket.com, Bluestone, Portea Medical, and HomeLane, leveraging his expertise in raising funds, building teams, and scaling operations. He has also contributed to the field of education as an Adjunct Professor at IIM Bangalore and as a member of the Board of Governors at IIM Calcutta."
"Oaktree Sports, India",Angel Investor,Gaurav Kapur,"Founder at Oaktree Sports, India",,https://www.linkedin.com/in/gauravkapur15437018a/,https://twitter.com/gauravkapur,,"AI/ML, Fintech, SaaS, Consumer","Monayyapp, Flatheads, DubDub .ai","Hailing from the bustling city of Mumbai, Gaurav Kapur stands out as a notable Angel Investor, leaving an indelible mark on the investment landscape. His strategic focus encompasses vital sectors, including Artificial Intelligence (AI) and Machine Learning (ML), Food and Beverage, and Applications (Apps). Through his investments, he has played a pivotal role in fueling the growth and development of startups like Blockfenders, Dubdub.Ai, Moneyyapp, and three other notable ventures. Gaurav Kapur's role as an Angel Investor is marked by his dedication to fostering innovation and driving entrepreneurial success. His influence extends far beyond financial backing, as he actively engages with startups, offering valuable insights, guidance, and mentorship. This collaborative approach underscores his commitment to not only providing capital but also playing a significant role in propelling emerging companies towards success."
Unacademy,Angel Investor,Gaurav Munjal,CoFounder and CEO at Unacademy,,https://www.linkedin.com/in/gauravmunjal8/,https://twitter.com/gauravmunjal,,"Fintech, HealthTech, Edtech, SaaS, Consumer, Media","Turnip, Airmeet, NFTically","Gaurav Munjal is a highly accomplished entrepreneur who serves as the CoFounder and CEO of Unacademy. He is also the visionary mind behind Flatchat. Unacademy, India's leading educational platform, stands as a testament to his innovative leadership. Under his guidance, Unacademy has evolved into a dynamic hub for learning and knowledge sharing. Gaurav's entrepreneurial journey is deeply rooted in his role as a CoFounder and CEO of Unacademy. He has played a pivotal role in shaping the platform into a transformative force in the education sector. Additionally, his visionary efforts have led to the establishment of Flatchat, showcasing his prowess in identifying and acting upon diverse business opportunities. Unacademy's ascendancy to becoming India's largest learning platform is a testament to Gaurav Munjal's strategic acumen and relentless dedication. His commitment to providing accessible and quality education has resonated with millions of learners, revolutionizing the way education is perceived and pursued."
Gemba Capital,VC (Tier 1),Adith Podhar,Founding partner at Gemba Capital,https://gembacapital.in/,https://www.linkedin.com/in/adithpodhar/,,$1M - $3M,"Fintech, Edtech, SaaS, Consumer, Digital Entertainment","Zvolv, Airmeet, Plum, Strata, Sleepycat","Gemba Capital is an India-based micro VC investor that focuses on early-stage investments, particularly in seed and pre-seed rounds. With a mission to institutionalize seed investments in India, Gemba Capital specializes in consumer tech, SaaS, and tech-enabled businesses with strong network effects. The firm seeks out startups that tap into the immense potential of the mid to lower-income households in India, and for SaaS startups, they prioritize companies capable of creating exceptional products for a global market. With a hands-on approach, Gemba Capital actively supports founders who are brave problem solvers and works closely with them to provide valuable expertise and guidance throughout their entrepreneurial journey."
Mamaearth,Angel Investor,Ghazal Alagh,Founder at Mamaearth,,https://www.linkedin.com/in/ghazal-alagh-9755a0128/,,,"Consumer, Media","Blissclub, Humpyfarms, Unscript.ai,","A Corporate trainer turned artist cum entrepreneur Ghazal Alagh, co-founded Mamaearth, driven by the passion for making early parenting, stress-free. As the Co-Founder and Chief Mama at Mamaearth, India's first toxin-free baby care brand, Ghazal is responsible for product development and community management."
Climber Capital,Angel Investor,Giridhar Malpani,Founder at Climber Capital,,https://www.linkedin.com/in/giridhar-malpani-b65323148/,https://twitter.com/malpanigiri?lang=en,$1M - $3M,"Fintech, Edtech, SaaS, Consumer, Digital Entertainment, Media","Creative Galileo, Crejo.fun, Nxtwave, Eximpe, Tranzact, One impression","Giridhar has been an investor and an entrepreneur. He has been associated as an investor with many brands like brights chapms,alpha ai,threedots,zeda.io,crejo.fun etc. He has completed his MBA from IIM bangalore ."
Freshworks,Angel Investor,Girish Mathrubootham,CEO at Freshworks,,https://www.linkedin.com/in/girish1/,https://twitter.com/mrgirish,Up to $1M,"SaaS, Consumer, Edtech","Whatfix, The Ken, Innov8, GoBumpr and iService, Unacademy, Factor Daily, Inkmonk, Zarget","Girish Mathrubootham is a multifaceted professional, contributing significantly to the technology and entrepreneurial landscape. He is a member of The Chennai Angels, an angel investment group. As the Founder and CEO of Freshworks Inc. (formerly Freshdesk), a globally renowned company specializing in customer support software, Girish has amassed over 16 years of experience in product management. He possesses a strong passion for developing technology products with user-friendly interfaces."
DoorDash,Angel Investor,Gokul Rajaram,Product and Business Helper at DoorDash,,https://www.linkedin.com/in/gokulrajaram1/,,,"AI/ML, Fintech, HealthTech, Edtech","Observe.ai, Airmeet, Daolens, Pepper content","Gokul Rajaram holds the role of Product and Business Facilitator at DoorDash, while also serving as a Board Member at Coinbase and Pinterest. He additionally contributes as an Investor and Advisor across various ventures. Ben Silbermann, the CEO and co-founder of Pinterest, expressed enthusiasm about Gokul's diverse expertise and innovation, anticipating valuable contributions to the board. Gokul's accomplished background in shopping, digital advertising, and content is expected to greatly enhance the user and advertiser experiences on Pinterest. Presently, Rajaram is a member of DoorDash's executive team, overseeing the premium food ordering service, Caviar, following its acquisition by DoorDash for $410 million from Square in the previous year."
